Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+------------------+-------------------------|
|   LOCG/USDT |     22 |           3.34 |          73.58 |           213.056 |          21.31 |          1:16:00 |    21     0     1  95.5 |
|   2CRZ/USDT |     16 |           2.89 |          46.20 |           145.357 |          14.54 |          2:28:00 |    15     0     1  93.8 |
|   XAVA/USDT |     22 |           1.32 |          29.00 |           120.399 |          12.04 |          4:23:00 |    21     0     1  95.5 |
|    CGG/USDT |     15 |           2.24 |          33.64 |           115.835 |          11.58 |          2:55:00 |    15     0     0   100 |
|    MTV/USDT |     11 |           2.87 |          31.54 |           113.325 |          11.33 |          0:38:00 |    11     0     0   100 |
|    ACE/USDT |      8 |           3.44 |          27.49 |            87.112 |           8.71 |          1:52:00 |     8     0     0   100 |
|    ARX/USDT |     13 |           1.96 |          25.42 |            84.823 |           8.48 |          4:43:00 |    12     0     1  92.3 |
|   TOKO/USDT |      6 |           3.13 |          18.75 |            77.624 |           7.76 |          1:54:00 |     6     0     0   100 |
|  TRIAS/USDT |     10 |           1.82 |          18.17 |            56.738 |           5.67 |          1:54:00 |    10     0     0   100 |
|    MAN/USDT |      7 |           2.09 |          14.61 |            52.833 |           5.28 |          0:20:00 |     7     0     0   100 |
|  BOSON/USDT |      6 |           2.23 |          13.37 |            51.290 |           5.13 |          0:44:00 |     6     0     0   100 |
|    OMG/USDT |      3 |           3.71 |          11.13 |            46.724 |           4.67 |          0:37:00 |     3     0     0   100 |
|   HORD/USDT |      6 |           1.87 |          11.21 |            44.011 |           4.40 |          2:52:00 |     6     0     0   100 |
|   MANA/USDT |      4 |           2.13 |           8.54 |            43.105 |           4.31 |          0:19:00 |     4     0     0   100 |
|    SHA/USDT |      6 |           2.33 |          13.98 |            43.049 |           4.30 |          4:08:00 |     6     0     0   100 |
|    FTM/USDT |      4 |           2.94 |          11.77 |            42.137 |           4.21 |          6:04:00 |     4     0     0   100 |
|   DOGE/USDT |      2 |           4.39 |           8.78 |            41.043 |           4.10 |          2:52:00 |     2     0     0   100 |
|   AVAX/USDT |      3 |           3.08 |           9.24 |            39.574 |           3.96 |          2:38:00 |     3     0     0   100 |
|    ONE/USDT |      3 |           3.24 |           9.71 |            39.395 |           3.94 |          4:32:00 |     3     0     0   100 |
